address,average_length_suspension,average_length_suspension_1,average_length_suspension_2,behavior_discipline_year,behavior_discipline_year_1,blue_ribbon_award_year,chronic_truancy_pct,city,college_enrollment_cps_pct,college_enrollment_cps_pct_1,college_enrollment_school,college_enrollment_school_1,college_persistence_cps_pct,college_persistence_cps_pct_1,college_persistence_school,college_persistence_school_1,cps_school_profile,creative_school_certification,creative_school_certification_1,culture_climate_description,culture_climate_rating,empty_progress_report_message,excelerate_award_gold_year,excellence_award_year,fax,freshmen_on_track_cps_pct,freshmen_on_track_cps_pct_1,freshmen_on_track_school,freshmen_on_track_school_1,graduation_4_year_cps_pct,graduation_4_year_cps_pct_1,graduation_4_year_school,graduation_4_year_school_1,graduation_5_year_cps_pct,graduation_5_year_cps_pct_1,graduation_5_year_school,graduation_5_year_school_1,healthy_school_certification,healthy_school_certification_1,improvement_award_year,location,long_name,misconducts_to_suspensions,misconducts_to_suspensions_1,misconducts_to_suspensions_2,mobility_rate_pct,one_year_dropout_rate_avg,one_year_dropout_rate_year,one_year_dropout_rate_year_1,other_metrics_year_1,other_metrics_year_2,parent_survey_results_year,phone,primary_category,progress_report_year,progress_toward_graduation,progress_toward_graduation_1,sat_grade_11_score_cps_avg,sat_grade_11_score_school,school_id,school_latitude,school_longitude,school_survey_ambitious,school_survey_collaborative,school_survey_effective,school_survey_involved,school_survey_safety,school_survey_student_response,school_survey_student_response_1,school_survey_supportive,school_survey_teacher_response,school_survey_teacher_response_1,school_type,short_name,spot_light_award_year,state,state_school_report_card,student_attainment_description,student_attainment_rating,student_attendance_avg_pct,student_attendance_year_1,student_attendance_year_2,student_growth_description,student_growth_rating,supportive_school_award,supportive_school_award_desc,suspensions_per_100_students,suspensions_per_100_students_1,suspensions_per_100_students_2,teacher_attendance_avg_pct,teacher_attendance_year_1,teacher_attendance_year_2,website,zip
1443 N OGDEN AVE,,,2.0 days,2022,2023,,48.3,Chicago,65.2,61.8,84.7,75.5,73.4,71.2,68.7,64.8,{'url': 'https://www.cps.edu/schools/schoolprofiles/400170'},STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Organized,,,,7085754217,88.7,88.8,86.5,93,84,82.9,87.1,89.6,85.6,84,94.7,88.9,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.645577, 41.906879]}",Noble - The Noble Academy,,,10.8,13.1,5.3,0.7,1.7,2022,2023,2023,3125741527,HS,2024,2022,2023,933,877,400170,41.906879,-87.645577,Strong,Neutral,Neutral,Neutral,VERY WEAK,80.2,78.6,Neutral,66.7,71.6,Charter,NOBLE - ACADEMY HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025043C'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",BELOW EXPECTATIONS,88.3,85.2,86.7,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://nobleschools.org/nobleacademy'},60610
2989 N MILWAUKEE AVE,,,2.0 days,2022,2023,,61.8,Chicago,65.2,61.8,44.1,36.9,73.4,71.2,74.2,57.4,{'url': 'https://www.cps.edu/schools/schoolprofiles/400172'},STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Partially Organized,,,,7732431820,88.7,88.8,72.1,77.6,84,82.9,71.3,78.7,85.6,84,80.8,70.7,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.718204, 41.935726]}",ASPIRA Business and Finance,,,10.8,13,5.3,4.9,6.2,2022,2023,2023,7732431820,HS,2024,2022,2023,933,826,400172,41.935726,-87.718204,Strong,Weak,Weak,Weak,WEAK,71.8,78.6,Neutral,68.8,71.6,Charter,ASPIRA - BUSINESS & FINANCE HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025079C'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR BELOW EXPECTATIONS,88.3,79.6,83.1,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://abfhs.aspirail.org'},60618
3124 W 47TH ST,,,2.0 days,2022,2023,,,Chicago,65.2,61.8,29.2,23.9,73.4,71.2,35.3,45.5,{'url': 'https://www.cps.edu/schools/schoolprofiles/400173'},EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Well Organized,,,,7735791224,,,,,,82.9,,14.3,85.6,84,14.3,20,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.702645, 41.808226]}",Pathways in Education- Brighton Park,,,10.8,,5.3,35.6,43.5,2022,2023,2023,7735791220,HS,2024,2022,2023,933,781,400173,41.808226,-87.702645,Weak,Very Strong,Strong,Strong,NEUTRAL,56.1,78.6,Strong,93.8,71.6,Citywide-Option,PATHWAYS - BRIGHTON PARK HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990259510'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR BELOW EXPECTATIONS,88.3,57.2,81.9,"Average fall-to-spring, fall-to-winter, or winter-to-spring growth percentile of students on the STAR reading and math assessments.",,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://pathwaysineducation.org'},60632
7530 S SOUTH SHORE DR,,,2.0 days,2022,2023,,,Chicago,65.2,61.8,22.5,18.2,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400175'},EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Well Organized,,,,7739027615,,,,,,82.9,,20,85.6,84,20,19.4,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.556487, 41.759749]}",Excel Academy of South Shore,,,10.8,,5.3,34.8,33.7,2022,2023,2023,7739027800,HS,2024,2022,2023,933,768,400175,41.759749,-87.556487,Strong,Strong,Neutral,Strong,NEUTRAL,77.1,78.6,Neutral,91.7,71.6,Citywide-Option,EXCEL SOUTH SHORE HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990253805'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR BELOW EXPECTATIONS,88.3,68.9,70.7,"Average fall-to-spring, fall-to-winter, or winter-to-spring growth percentile of students on the STAR reading and math assessments.",,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://sesischools.com/locations/excel-academy-of-south-shore'},60649
7050 S WASHTENAW AVE,1.7 days,2.4 days,2.0 days,2022,2023,,,Chicago,65.2,61.8,34.6,28.6,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400176'},STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Partially Organized,,,,7734240746,,,,,84,82.9,41.2,40,85.6,84,46.7,38.5,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.69073, 41.765929]}",Excel Academy Southwest,60,87.5,10.8,,5.3,52.7,43.1,2022,2023,2023,7734240721,HS,2024,2022,2023,933,694,400176,41.765929,-87.69073,Strong,Weak,Neutral,Weak,WEAK,69.6,78.6,Neutral,99.9,71.6,Citywide-Option,EXCEL SOUTHWEST HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990253806'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR BELOW EXPECTATIONS,88.3,74,73.8,"Average fall-to-spring, fall-to-winter, or winter-to-spring growth percentile of students on the STAR reading and math assessments.",,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,8,29,4.2,94,,,{'url': 'https://sesischools.com/locations/excel-academy-of-southwest'},60629
416 N LARAMIE AVE,,,2.0 days,2022,2023,,41.7,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400178'},DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Not Yet Organized,,,,3126747221,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.755281, 41.888259]}",Moving Everest Charter School,,,10.8,11,,,,2022,2023,2023,3126839695,ES,2024,2022,2023,933,0,400178,41.888259,-87.755281,Neutral,Weak,Neutral,Weak,VERY WEAK,64.6,78.6,Very Weak,57.5,71.6,Charter,MOVING EVEREST,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025244C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,86.7,89.3,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://www.movingeverest.org'},60644
2911 W 47TH,,,2.0 days,2022,2023,,34,Chicago,65.2,61.8,76.1,71.3,73.4,71.2,77.7,66.4,{'url': 'https://www.cps.edu/schools/schoolprofiles/400179'},INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  http://www.cpsarts.org/","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Well Organized,,,,7734090440,88.7,88.8,82.6,82.3,84,82.9,93.5,89.2,85.6,84,91,90.4,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.728003, 41.800136]}",Noble Mansueto High School,,,10.8,9.4,5.3,1.9,1.5,2022,2023,2023,7733498200,HS,2024,2022,2023,933,923,400179,41.800136,-87.728003,Strong,Strong,Strong,Very Strong,WEAK,59.9,78.6,Strong,77.1,71.6,Charter,NOBLE - MANSUETO HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025044C'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",BELOW EXPECTATIONS,88.3,86.3,89.8,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://nobleschools.org/mansueto'},60632
730 N PULASKI,,,2.0 days,2022,2023,,22.9,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400180'},DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Organized,,,,3127338163,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.726615, 41.893805]}",KIPP One Academy,,,10.8,9.8,,,,2022,2023,2023,7739388578,ES,2024,2022,2023,933,0,400180,41.893805,-87.726615,Strong,Strong,Neutral,Strong,WEAK,99.9,78.6,Weak,62.6,71.6,Charter,KIPP - ONE,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025245C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,91.3,93,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://www.kippchicago.org'},60624
7415 S EAST END,,,2.0 days,2022,2023,,34.3,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400181'},EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Not Yet Organized,,,,,88.7,88.8,29.6,76.8,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.583328, 41.760034]}",Art in Motion Charter School,,,10.8,14.1,5.3,1.9,7.9,2022,2023,2023,7738209426,HS,2024,2022,2023,933,754,400181,41.760034,-87.583328,Weak,Weak,Neutral,Neutral,NOT ENOUGH DATA,92.1,78.6,Very Weak,84.1,71.6,Charter,ART IN MOTION,,IL,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025111C'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR BELOW EXPECTATIONS,88.3,85.7,89.2,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://www.aimchicago.org'},60649
2100 E 87TH ST,3.4 days,2.8 days,2.0 days,2022,2023,,58.8,Chicago,65.2,61.8,41.7,34,73.4,71.2,33.3,27,{'url': 'https://www.cps.edu/schools/schoolprofiles/609674'},EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Organized,,,,7735356633,88.7,88.8,91.7,87.4,84,82.9,82.7,76,85.6,84,78.1,70,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.573268, 41.737174]}",Chicago Vocational Career Academy High School,57.9,36.9,10.8,27.9,5.3,6.1,5.1,2022,2023,2023,7735356100,HS,2024,2022,2023,933,779,609674,41.737174,-87.573268,Neutral,Strong,Neutral,Neutral,VERY WEAK,93.4,78.6,Neutral,67.5,71.6,Career academy,CHICAGO VOCATIONAL HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990250526'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR BELOW EXPECTATIONS,88.3,78.2,80.6,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",17.2,33.6,4.2,94,90,92.8,{'url': 'https://chicagovocational.org'},60617
3000 S KING DR,3.1 days,3.1 days,2.0 days,2022,2023,,91.9,Chicago,65.2,61.8,40.7,59.3,73.4,71.2,53.1,46.4,{'url': 'https://www.cps.edu/schools/schoolprofiles/609676'},DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Moderately Organized,,,,7735340900,88.7,88.8,81.9,81,84,82.9,71.8,78.2,85.6,84,81.8,65.1,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.617637, 41.840226]}",Paul Laurence Dunbar Career Academy High School,18.3,35.6,10.8,14.5,5.3,3.7,4.3,2022,2023,2023,7735349000,HS,2024,2022,2023,933,754,609676,41.840226,-87.617637,,Neutral,Neutral,Neutral,NOT ENOUGH DATA,35.7,78.6,,77.1,71.6,Career academy,DUNBAR HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990250531'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR BELOW EXPECTATIONS,88.3,71.3,64.7,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,4.5,20.5,4.2,94,91.9,93.4,{'url': 'https://dvca-cps.org'},60616
700 S STATE ST,2.7 days,1.9 days,2.0 days,2022,2023,2020,39,Chicago,65.2,61.8,87,81.6,73.4,71.2,92.4,94.1,{'url': 'https://www.cps.edu/schools/schoolprofiles/609678'},EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Moderately Organized,,,2013,7735348625,88.7,88.8,96.7,96.8,84,82.9,94.1,94.5,85.6,84,96.8,97.5,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.627675, 41.873066]}",William Jones College Preparatory High School,6.3,14.6,10.8,1.4,5.3,0.5,0.4,2022,2023,2023,7735348600,HS,2024,2022,2023,933,1276,609678,41.873066,-87.627675,Very Strong,Weak,Weak,Neutral,WEAK,69.2,78.6,Strong,67.1,71.6,Selective enrollment,JONES HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990250533'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR ABOVE EXPECTATIONS,88.3,88.7,89.2,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,0.2,0.7,4.2,94,92.6,93.7,{'url': 'https://www.jonescollegeprep.org'},60605
2148 N LONG AVE,2.0 days,2.2 days,2.0 days,2022,2023,2021,63.7,Chicago,65.2,61.8,74,69,73.4,71.2,65.6,67.5,{'url': 'https://www.cps.edu/schools/schoolprofiles/609679'},EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Organized,,,,7735343382,88.7,88.8,91,88.8,84,82.9,91.4,81.6,85.6,84,84.7,92.6,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.761048, 41.920059]}",Charles Allen Prosser Career Academy High School,4.3,2.1,10.8,4.3,5.3,1.9,1.1,2022,2023,2023,7735343200,HS,2024,2022,2023,933,903,609679,41.920059,-87.761048,Strong,Neutral,Neutral,Neutral,WEAK,78.3,78.6,Neutral,57.3,71.6,Career academy,PROSSER HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990250534'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",BELOW EXPECTATIONS,88.3,82.9,82,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,2.4,0.8,4.2,94,91.1,92.8,{'url': 'https://prosseracademy.org'},60639
1034 N WELLS ST,1.8 days,1.4 days,2.0 days,2022,2023,2021,25.3,Chicago,65.2,61.8,91.1,87.1,73.4,71.2,95.7,95.6,{'url': 'https://www.cps.edu/schools/schoolprofiles/609680'},EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Organized,,,2013,7735340035,88.7,88.8,99.7,99,84,82.9,97.2,98.4,85.6,84,98.7,97.6,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.635385, 41.901575]}",Walter Payton College Preparatory High School,13.8,8.5,10.8,,5.3,0.4,,2022,2023,2023,7735340034,HS,2024,2022,2023,933,1334,609680,41.901575,-87.635385,Very Strong,Neutral,Weak,Very Strong,NEUTRAL,87.1,78.6,Very Strong,58.2,71.6,Selective enrollment,PAYTON HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990250796'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR ABOVE EXPECTATIONS,88.3,91.6,92.4,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,0.3,1,4.2,94,92,94.6,{'url': 'https://wpcp.org'},60610
